iter	RMSE
0	14.08034558
1	13.16655721
2	12.29949151
3	11.56512714
4	10.92579223
5	10.35691056
6	9.832314417
7	9.381450555
8	8.984283589
9	8.564568726
10	8.175808886
11	7.870384906
12	7.601316284
13	7.359554706
14	7.118575747
15	6.902170661
16	6.72938675
17	6.601662539
18	6.448302864
19	6.306807526
20	6.214507951
21	6.110611013
22	6.019100501
23	5.928465811
24	5.8433903
25	5.782508327
26	5.712169706
27	5.652867523
28	5.610431668
29	5.568623012
30	5.524313586
31	5.482525479
32	5.437008988
33	5.402616584
34	5.362974982
35	5.3304491
36	5.308256154
37	5.288463779
38	5.267622362
39	5.243777996
40	5.222521355
41	5.204231649
42	5.188527522
43	5.178778905
44	5.163732295
45	5.14033015
46	5.121213778
47	5.104439763
48	5.088964269
49	5.075645184
50	5.065021522
51	5.05409488
52	5.03684258
53	5.022630327
54	5.011740318
55	4.996576844
56	4.978096006
57	4.962225428
58	4.950632365
59	4.940800952
60	4.925522097
61	4.91090782
62	4.900389657
63	4.888884685
64	4.881425582
65	4.872079349
66	4.862691287
67	4.852831415
68	4.837360879
69	4.826525538
70	4.812385247
71	4.801196571
72	4.794713907
73	4.783375254
74	4.768958001
75	4.758992741
76	4.749056584
77	4.738967821
78	4.727877144
79	4.72184318
80	4.717750902
81	4.710515633
82	4.699189782
83	4.693625204
84	4.684686003
85	4.678723973
86	4.667381317
87	4.662822314
88	4.655714623
89	4.652409026
90	4.644298559
91	4.638085571
92	4.628577497
93	4.612489322
94	4.60312855
95	4.598551361
96	4.588123877
97	4.571863827
98	4.55953364
99	4.552030957
